Match	Color	Team1	Team2	Score	PPM1	PPM2	PPMtot	Score-PPMtot
117	Blue	8680	10582	452	267.9	124.6	392.5	59.5
118	Red	8813	9971	333	53.4	268.0	321.4	11.6
118	Blue	11525	4130	240	153.0	51.1	204.1	35.9
119	Red	10738	14270	486	193.8	301.8	495.6	-9.6
119	Blue	12773	6051	286	122.0	104.1	226.0	60.0
120	Red	13426	11808	204	75.1	164.1	239.2	-35.2
120	Blue	9984	365	174	134.9	81.6	216.6	-42.6
121	Red	11808	11525	257	164.1	153.0	317.1	-60.1
121	Blue	9890	12231	303	71.4	256.5	327.9	-24.9
122	Red	13247	10582	281	143.2	124.6	267.8	13.2
122	Blue	6567	8528	194	157.6	56.4	213.9	-19.9
123	Red	13917	11248	267	165.0	85.3	250.3	16.7
123	Blue	11095	11047	337	149.6	181.5	331.1	5.9
124	Red	11184	8680	296	68.9	267.9	336.8	-40.8
124	Blue	7149	3216	413	233.3	121.3	354.7	58.3
125	Red	11301	9794	379	154.7	180.9	335.6	43.4
125	Blue	7129	9867	371	192.7	171.9	364.6	6.4
126	Red	12835	3763	488	209.9	190.3	400.2	87.8
126	Blue	6369	6440	265	172.5	94.0	266.5	-1.5
127	Red	5842	6010	288	56.1	197.7	253.8	34.2
127	Blue	4347	5143	386	158.9	157.8	316.8	69.2
128	Red	7093	5291	234	45.0	165.5	210.5	23.5
128	Blue	14320	16142	231	168.6	104.0	272.6	-41.6
129	Red	10030	5485	421	167.9	225.5	393.3	27.7
129	Blue	7190	12589	377	138.6	233.2	371.8	5.2
130	Red	14568	8719	313	132.1	114.3	246.4	66.6
130	Blue	10273	14270	549	170.1	301.8	471.9	77.1
131	Red	4177	8644	289	162.6	224.0	386.6	-97.6
131	Blue	9984	12773	285	134.9	122.0	256.9	28.1
132	Red	10738	5037	346	193.8	140.5	334.2	11.8
132	Blue	252	13906	250	116.5	123.5	240.0	10.0
133	Red	9971	365	369	268.0	81.6	349.6	19.4
133	Blue	10918	12538	413	210.4	208.6	419.0	-6.0
134	Red	9956	10435	418	180.4	264.7	445.2	-27.2
134	Blue	10091	4924	179	237.6	156.9	394.5	-215.5
135	Red	11691	5962	313	199.8	130.7	330.5	-17.5
135	Blue	11115	4318	558	374.7	142.4	517.1	40.9
136	Red	8813	4130	158	53.4	51.1	104.5	53.5
136	Blue	6007	3954	306	146.9	158.8	305.7	0.3
137	Red	5975	4174	406	180.3	179.8	360.1	45.9
137	Blue	9445	13426	213	115.8	75.1	190.9	22.1
138	Red	11302	11316	336	131.6	215.1	346.7	-10.7
138	Blue	9168	12531	341	132.2	203.8	336.1	4.9
139	Red	6055	6931	326	212.0	185.6	397.7	-71.7
139	Blue	9862	7035	207	119.2	73.5	192.6	14.4
140	Red	6051	8479	358	104.1	282.2	386.2	-28.2
140	Blue	10144	10376	338	196.6	123.5	320.1	17.9
141	Red	9867	7035	274	171.9	73.5	245.4	28.6
141	Blue	11302	8644	373	131.6	224.0	355.7	17.3
142	Red	9984	8528	198	134.9	56.4	191.3	6.7
142	Blue	12773	10738	263	122.0	193.8	315.7	-52.7
143	Red	8680	9445	312	267.9	115.8	383.6	-71.6
143	Blue	9794	5291	369	180.9	165.5	346.4	22.6
144	Red	9956	10273	279	180.4	170.1	350.5	-71.5
144	Blue	4924	12231	280	156.9	256.5	413.4	-133.4
145	Red	7129	10918	294	192.7	210.4	403.2	-109.2
145	Blue	10435	10091	498	264.7	237.6	502.4	-4.4
146	Red	9862	12835	293	119.2	209.9	329.1	-36.1
146	Blue	10376	4130	220	123.5	51.1	174.6	45.4
147	Red	8479	14568	674	282.2	132.1	414.3	259.7
147	Blue	10582	11691	315	124.6	199.8	324.4	-9.4
148	Red	12531	11115	362	203.8	374.7	578.5	-216.5
148	Blue	5975	5962	308	180.3	130.7	311.0	-3.0
149	Red	7190	4174	351	138.6	179.8	318.4	32.6
149	Blue	7093	9971	180	45.0	268.0	313.0	-133.0
150	Red	5842	6440	160	56.1	94.0	150.1	9.9
150	Blue	6010	3954	330	197.7	158.8	356.5	-26.5
151	Red	8813	11301	186	53.4	154.7	208.1	-22.1
151	Blue	5485	7149	398	225.5	233.3	458.8	-60.8
152	Red	252	5037	266	116.5	140.5	257.0	9.0
152	Blue	10030	14270	377	167.9	301.8	469.7	-92.7
153	Red	6931	6567	351	185.6	157.6	343.2	7.8
153	Blue	3216	14320	294	121.3	168.6	289.9	4.1
154	Red	13247	13917	330	143.2	165.0	308.2	21.8
154	Blue	11095	5143	186	149.6	157.8	307.4	-121.4
155	Red	9168	16142	246	132.2	104.0	236.2	9.8
155	Blue	11248	365	157	85.3	81.6	166.9	-9.9
156	Red	4318	6007	167	142.4	146.9	289.3	-122.3
156	Blue	4177	8719	442	162.6	114.3	276.9	165.1
157	Red	13426	12538	255	75.1	208.6	283.7	-28.7
157	Blue	13906	11184	186	123.5	68.9	192.4	-6.4
158	Red	6055	11808	279	212.0	164.1	376.2	-97.2
158	Blue	11316	6051	328	215.1	104.1	319.2	8.8
159	Red	9890	11525	201	71.4	153.0	224.3	-23.3
159	Blue	3763	12589	421	190.3	233.2	423.5	-2.5
160	Red	6369	10144	372	172.5	196.6	369.1	2.9
160	Blue	11047	4347	483	181.5	158.9	340.5	142.5
161	Red	9984	9956	297	134.9	180.4	315.4	-18.4
161	Blue	16142	11115	436	104.0	374.7	478.7	-42.7
162	Red	10376	11248	278	123.5	85.3	208.8	69.2
162	Blue	5291	10091	500	165.5	237.6	403.1	96.9
163	Red	12231	11047	445	256.5	181.5	438.0	7.0
163	Blue	13917	8813	164	165.0	53.4	218.4	-54.4
164	Red	365	11302	214	81.6	131.6	213.3	0.7
164	Blue	4174	5962	312	179.8	130.7	310.5	1.5
165	Red	11095	11691	384	149.6	199.8	349.3	34.7
165	Blue	11184	7035	189	68.9	73.5	142.3	46.7
166	Red	3763	10435	510	190.3	264.7	455.0	55.0
166	Blue	6051	13906	178	104.1	123.5	227.6	-49.6
167	Red	7190	5037	140	138.6	140.5	279.1	-139.1
167	Blue	6369	11525	87	172.5	153.0	325.5	-238.5
168	Red	9890	11316	284	71.4	215.1	286.4	-2.4
168	Blue	8719	10918	341	114.3	210.4	324.7	16.3
169	Red	12773	8680	258	122.0	267.9	389.8	-131.8
169	Blue	6007	12589	380	146.9	233.2	380.1	-0.1
170	Red	14320	4924	350	168.6	156.9	325.5	24.5
170	Blue	6567	11301	337	157.6	154.7	312.3	24.7
171	Red	14270	4177	689	301.8	162.6	464.4	224.6
171	Blue	13426	6055	213	75.1	212.0	287.1	-74.1
172	Red	7149	9445	359	233.3	115.8	349.1	9.9
172	Blue	9794	12835	449	180.9	209.9	390.8	58.2
173	Red	10030	9168	295	167.9	132.2	300.1	-5.1
173	Blue	7129	9867	327	192.7	171.9	364.6	-37.6
174	Red	252	4318	285	116.5	142.4	258.9	26.1
174	Blue	6440	4347	274	94.0	158.9	252.9	21.1
175	Red	7093	5975	211	45.0	180.3	225.3	-14.3
175	Blue	8479	12531	504	282.2	203.8	486.0	18.0
176	Red	9862	8644	304	119.2	224.0	343.2	-39.2
176	Blue	3216	5842	170	121.3	56.1	177.4	-7.4
177	Red	3954	10273	346	158.8	170.1	328.8	17.2
177	Blue	12538	14568	367	208.6	132.1	340.7	26.3
178	Red	11808	10738	504	164.1	193.8	357.9	146.1
178	Blue	10582	5143	407	124.6	157.8	282.5	124.5
179	Red	9971	6010	423	268.0	197.7	465.7	-42.7
179	Blue	4130	10144	266	51.1	196.6	247.8	18.2
180	Red	5485	13247	396	225.5	143.2	368.7	27.3
180	Blue	6931	8528	242	185.6	56.4	242.0	0.0
